Class Name|oimInterp macro|Description|parameters
oimParamInterpolator| - |Generic interpolator (to be subclassed)|
oimParamInterpolatorKeyframes| - |Interpolation between keyframes in wl or mjd|keyframes, keyvalues, kind, dependence, fixedRef, extrapolate
oimParamInterpolatorWl|wl|Interpolation between keyframes in wl|wl, values, kind, fixedRef, extrapolate
oimParamInterpolatorTime|time|Interpolation between keyframes in mjd|mjd, values, kind, fixedRef, extrapolate
oimParamCosineTime|cosTime|Assymetrical cosine time interpolator|T0, P, values, x0
oimParamGaussian| - |Generic gaussian interpolator in wl or mjd|dependence, val0, value, x0, fwhm
oimParamGaussianWl|GaussWl| Gaussian interpolator in wl|val0, value, x0, fwhm
oimParamGaussianTime|GaussTime|Gaussian interpolator in mjd|val0, value, x0, fwhm
oimParamMultipleGaussian| - |Generic multiple gaussian interpolator in wl or mjd|dependence, val0, values, x0, fwhm
oimParamMultipleGaussianWl|mGaussWl|Multiple Gaussian interpolator in wl|val0, values, x0, fwhm
oimParamMultipleGaussianTime|mGaussTime|Multiple Gaussian interpolator in mjd|val0, values, x0, fwhm
oimParamPolynomial| - |Generic polynomial interpolation in wl or mjd|dependence, order, coeffs, x0
oimParamPolynomialWl|polyWl|Polynomial interpolation in wl|order, coeffs, x0
oimParamPolynomialTime|polyTime|Polynomial interpolation in mjd|order, coeffs, x0
oimParamLinearRangeWl|rangeWl|Linear range interpolation in wl|wlmin, wlmax, values
oimParamLinearTemplateWl|templateWl|Interpolation in wl using external regular grid template|wl0, dwl, f_contrib, values, kind
